id	length
14-3-3epsilon	774
14-3-3zeta	744
Aagab	781.5
AANAT1	720
AANAT2	673
AANAT3	675
AANAT4	669
Aats-asp	1614
Accoas	2037
Acn9	369
Acp1	483
ACYPI001297	570
ACYPI005491	975
ACYPI009260	519
ACYPI20897	315
ACYPI21107	366
ACYPI21111	414
ACYPI21874	336
ACYPI22208	766.5
ACYPI22560	531
ACYPI23643	357
ACYPI24120	807
ACYPI24610	483
ACYPI24700	954
ACYPI25200	651
ACYPI25566	534
ACYPI25621	333
ACYPI26172	303
ACYPI27127	756
ACYPI27183	447
ACYPI27259	396
ACYPI30670	336
ACYPI30763	564
ACYPI31067	687
ACYPI31162	375
ACYPI31358	717
ACYPI31744	465
ACYPI32014	348
ACYPI34021	741
ACYPI34361	801
ACYPI34668	600
ACYPI35350	519
ACYPI35400	633
ACYPI37007	387
ACYPI37037	348
ACYPI37262	525
ACYPI37407	645
ACYPI38240	600
ACYPI38370	399
ACYPI38370-2	387
ACYPI38480	438
ACYPI38600	1029
ACYPI38901	444
ACYPI39568	399
ACYPI40782	318.75
ACYPI41475	474
ACYPI41887	831
ACYPI44516	405
ACYPI44516-2	516
ACYPI44516-3	432
ACYPI44554	339
ACYPI44617	405
ACYPI45001	399
ACYPI45536	528
ACYPI46154	507
ACYPI46564	363
ACYPI46913	381
ACYPI47807	366
ACYPI47916	456
ACYPI47960	474
ACYPI49991	477
ACYPI50196	579
ACYPI52223	609
ACYPI52640	1035
ACYPI53008	801
ACYPI53115	423
ACYPI53166	567
ACYPI53375	681
ACYPI53853	418
ACYPI54307	426
ACYPI55558	330
ACYPI56194	711
ACYPI56502	384
ACYPI56506	438
Ak2	744
Ance-like	1914
Apool	715.5
Aqp1	786
aralar1	2064
Arfgap2	1623
Arl4a	606
Atg5	801
Atp5j	309
Atp5l	303
Atp5o	573
ATP6	648
ATP8	150
Atpcl	3279
Atpsyn-beta	1566
Atpsyn-d	552
Awd1	474
Awd2	477.75
B9d1	579
Bic	546
Bloc1s2	441
Blvrb	618
Bola3	339
bora	1134
Bud13	925.5
Bud31	435
Cact	987
Cam	450
Capa	453
Carhsp1	408
Catb-10270	1026
Catb-1418	1041
Catb-1674	1005
Catb-16a	1021.5
Catb-16d2	1023
Catb-1852	1002
Catb-1874	948
Catb-2744	972
Catb-3098	1014
Catb-348	1029
Catb-3483	1068
Catb-5880	909
Catb-84	1008
Catb-912	1029
Cathd	1182
Ccdc130	921
Ccdc25	588
Ccdc44	831
Ccdc47	1350
Ccdc53	528
Ccdc94	784.8
Cct5	1629
Cdc20	1518
Cdc42	576
cdk5	885
Chmp2a	717
Cinp	621
Ckiibeta	663
clk	1780.2
Clpp	675
Cog6	1872
Commd2	597
Commd3	600
Cops6	960
Coq3	822
Coq7	582
COX1	1533
Cox10	1209
COX2	672
COX3	786
Cox7c	207
cp1	540
cp10	423
cp11	348
cp12	459
cp14	408
cp15	402
cp16	522
cp17	477
cp18	447
cp19	456
cp20	900
cp21	1293
cp22	765
cp23	804
cp25	678
cp26	723
cp28	588
cp29	588
cp30	933
cp31	486
cp33	456
cp34	483
cp35	468
cp36	483
cp37	498
cp38	483
cp39	483
cp41	495
cp43	672
cp44	657
cp45	657
cp47	897
cp5	688.5
cp52	399
cp53	291
cp54	447
cp57	399
cp58	519
cp60	564
cp62	651
cp68	582
cp7	582
cp70	354
cp72	705
cp73	390
cp76	669
cp9	477
Cpap3-a1	738
Cpap3-a2	747
Cpap3-b	900
Cpap3-c	822
Cpap3-d1	687
Cpap3-d2	1242
Cpped1	903
cprr1-1	408
cprr1-10	417
cprr1-11	813
cprr1-2	579
cprr1-4	603
cprr1-5	1359
cprr1-7	402
cprr1-8	723
Cpvl	1410
Cpx	426
Crop	1011
cry1	1662
cry2-2	1539
Csl4	588
Csn5	1020
Csp	639
Ctdnep1	769.5
Ctps	1797
Ctsf	1347
Ctsk1	1677
Ctsl	1026
cyc	1968.85714285714
Cych	903
CYTB	1116
Dap	303
Dars2	1938
Dcps	945
Dctn6	543
Dcxr	822
Denr	525
Det	436.5
Dhfr	555
dnd	690
Dnttip2	498
Dohh	900
Dtd1	495
Dtwd1	747
E(r)	312
Eas	1068
Ecr	1750
Edf1	441
Eff	444
Eif1	333
Eif1ad	441
Eif3f	837
Eif3j	726
Eif3k	648
Elongin-c1	366
Elovl6	838.5
Endos	378
Enpep	2790
Eri1	1023
Eth	543
Fbxo5	1044
Fib	948
Fis1	471
Fnta	1017
Gadd45gip1	741
Glrx5	426
Gmpr2	1059
Gnao1	1030.5
Got2	1275
gpb5	426
Gpr143	1047
Gs2	1118
Gstcd	1647
Gtsf1	375
Hadh	930
Hb	1755
Hibadh	987
Hsc70-3	1980
Hspe1	306
Idgf	1329
Intu	2358
Ipps	1185
Isy1	828
Jagn1	579
Jhamt	804
Jhbp	861
Jtb	468
Karl	741
Kcmf1	1297
Krr1	876
Lamtor1	507
Ldca	1085.4
LOC100144773	2922
LOC100144776	1740
LOC100144789	1209
